Wavelength (nm),Spectral photon flux (1/[s m2 nm])
598.36676,346267680436704.7
598.78644,336636682892524.4
599.20612,339307739573348.56
599.62573,359292844522812.5
600.04541,359624857547742.8
600.46503,349807159561234.94
600.88464,343399194149452.8
601.30426,357181853830995.6
601.72388,361209381910191.6
602.14349,356482983646896.25
602.56311,361296080482755.6
602.98267,370705329941501.9
603.40222,356155288882321.8
603.82178,369087051142767.25
604.24133,358929680914778.9
604.66089,375714173439533.2
605.08038,380705273902886.1
605.49994,379732873897815.44
605.91943,371967636270361.4
606.33893,382052929943943.44
606.75842,374596205309805.56
607.17792,391046810237889.3
607.59735,385649708655096.5
608.01685,386785924082588.4
608.43628,389012440209047.6
608.85571,386274031273886.44
609.27515,385465508389130.56
609.69458,411982832322771.7
610.11395,399351840542999.1
610.53339,350116077469005.6
610.95276,399901963425406.56
611.37213,402939865818823.8
611.7915,414922550045768.9
612.21082,402242563895272.94
612.63019,403632788124878.6
613.0495,413305131655654.7
613.46881,424028732937185.4
613.88812,419706217444168.5
614.30743,416599973499667.8
614.72675,422764518344012.5
615.146,417186977946655.94
615.56531,419891455434778.4
615.98456,407417520769446.0
616.40381,429145746784174.9
616.823,434685727900396.0
617.24225,418744989773639.06
617.66144,426000836319938.25
618.08069,438129329747735.1
618.49988,434380072462192.5
618.91907,433916381417102.9
619.3382,431048698263915.2
619.75739,440696745673009.06
620.17651,435003968510883.44
620.59564,435336390450771.0
621.01477,439427379243740.56
621.4339,437358519027416.5
621.85303,431775375595914.44
622.27209,437341804987656.3
622.69116,438306141439574.3
623.11023,440398925875670.75
623.5293,444694879563772.5
623.94836,428313336956707.9
624.36743,444100133275017.2
624.78644,445931453641500.9
625.20544,449108715030959.2
625.62445,431173735672575.56
626.04346,437405042019417.8
626.4624,452545312764742.4
626.88141,446650055228648.2
627.30035,441631159229996.5
627.7193,436495496460333.1
628.13824,446723914347960.9
628.55719,438774798681438.1
628.97607,447371054632352.25
629.39496,447211156686801.5
629.81384,440668800005862.1
630.23273,439399957673540.9
630.65161,435160323570233.5
631.0705,441734477803731.5
631.48932,451233733882116.2
631.90814,449367658955078.56
632.32697,427503689310169.3
632.74579,441597496229001.7
633.16455,432119796658546.0
633.58337,439773027008730.1
634.00214,434983270498355.9
634.4209,433937656005235.7
634.83966,440433719170838.94
635.25836,438884065698402.4
635.67712,432688733440191.44
636.09583,437839551655891.1
636.51453,442841242924082.06
636.93323,433393788703638.4
637.35193,429378363222224.3
637.77057,430237657328707.44
638.18921,439908077223000.3
638.60785,427938180660004.7
639.02649,427446773862981.56
639.44513,423395869369368.06
639.86371,434878468487970.4
640.28235,429622580116576.3
640.70093,434614206529437.4
641.11951,426473743390701.5
641.53802,436308613844291.1
641.9566,435860775852861.1
642.37512,427994294034262.7
642.79364,431579089618174.25
643.21216,427082480094385.44
643.63068,433666953077694.56
644.04913,435033534279825.7
644.46759,422350799064066.8
644.88605,430636967935605.3
645.3045,423480330118779.7
645.72296,421056037181280.1
646.14136,418254476141104.56
