Wavelength (nm),Spectral photon flux (1/[s m2 nm])
595.84845,1.0818164406891328e+16
596.26819,1.1028730442208648e+16
596.68793,1.1252765976617928e+16
597.10767,1.149596848519526e+16
597.52734,1.1745481777214866e+16
597.94708,1.2007870891396226e+16
598.36676,1.2253983606163392e+16
598.78644,1.2463872273819068e+16
599.20612,1.2740892733423296e+16
599.62573,1.2972859443941218e+16
600.04541,1.3221777217832642e+16
600.46503,1.3516162207157072e+16
600.88464,1.3754231968666004e+16
601.30426,1.3992633244370472e+16
601.72388,1.4211334122920804e+16
602.14349,1.4484820021937816e+16
602.56311,1.475607574831404e+16
602.98267,1.5026697330952068e+16
603.40222,1.5306101107291168e+16
603.82178,1.5519178862991402e+16
604.24133,1.5774173008394556e+16
604.66089,1.6075233091476506e+16
605.08038,1.6391892468344964e+16
605.49994,1.6630509572852342e+16
605.91943,1.6913702580245494e+16
606.33893,1.7304221292681106e+16
606.75842,1.7583995767597272e+16
607.17792,1.7906500141409274e+16
607.59735,1.8159831834419484e+16
608.01685,1.8466038862884748e+16
608.43628,1.875820002698282e+16
608.85571,1.904581057387519e+16
609.27515,1.9323862457724384e+16
609.69458,1.963674231201242e+16
610.11395,1.9939501176928684e+16
610.53339,2.023110434927536e+16
610.95276,2.0599743805327724e+16
611.37213,2.0872774666871164e+16
611.7915,2.1232059775513e+16
612.21082,2.147758974427142e+16
612.63019,2.178286314768055e+16
613.0495,2.213943890993631e+16
613.46881,2.2465270902823092e+16
613.88812,2.2850881599440916e+16
614.30743,2.30994257129833e+16
614.72675,2.3475126175066984e+16
615.146,2.377635626327779e+16
615.56531,2.4060012297982704e+16
615.98456,2.4386773932784572e+16
616.40381,2.4724633427677056e+16
616.823,2.5062132420241828e+16
617.24225,2.538029311106866e+16
617.66144,2.571756934318471e+16
618.08069,2.605877983510783e+16
618.49988,2.6395527314065764e+16
618.91907,2.6699579599128264e+16
619.3382,2.69788385258469e+16
619.75739,2.738374690387992e+16
620.17651,2.7617915341140904e+16
620.59564,2.7992948512444684e+16
621.01477,2.819969128744124e+16
621.4339,2.8469317562002056e+16
621.85303,2.8781967486931944e+16
622.27209,2.902289441477031e+16
622.69116,2.9303844203565896e+16
623.11023,2.9689584579421956e+16
623.5293,2.9947416252728076e+16
623.94836,3.0259405824889724e+16
624.36743,3.056873587077023e+16
624.78644,3.0849135390922372e+16
625.20544,3.107672554553675e+16
625.62445,3.1426241449074228e+16
626.04346,3.1807583775747344e+16
626.4624,3.209862281020385e+16
626.88141,3.2408413054564828e+16
627.30035,3.268149096852993e+16
627.7193,3.2946546226547464e+16
628.13824,3.323805124319054e+16
628.55719,3.3514753873455416e+16
628.97607,3.37725816145205e+16
629.39496,3.4170399672561132e+16
629.81384,3.4347520020456916e+16
630.23273,3.4624716664675024e+16
630.65161,3.485567460190243e+16
631.0705,3.5112878445297788e+16
631.48932,3.5399314415219132e+16
631.90814,3.5678493047602004e+16
632.32697,3.5966762133606428e+16
632.74579,3.622831087606334e+16
633.16455,3.6517072085570376e+16
633.58337,3.682058699728928e+16
634.00214,3.713972654749901e+16
634.4209,3.726396530535842e+16
634.83966,3.759513625464326e+16
635.25836,3.779577610597138e+16
635.67712,3.810750998672442e+16
636.09583,3.843070708498587e+16
636.51453,3.8653431344103224e+16
636.93323,3.887500009003134e+16
637.35193,3.922211436917179e+16
637.77057,3.946842582493909e+16
638.18921,3.968642938336109e+16
638.60785,3.996495356059241e+16
639.02649,4.034168578097626e+16
639.44513,4.055201323050711e+16
639.86371,4.078011809196368e+16
640.28235,4.1075187600015256e+16
640.70093,4.1221813252029304e+16
641.11951,4.152194252067298e+16
641.53802,4.18581004230293e+16
641.9566,4.194986418566033e+16
642.37512,4.2219085589071096e+16
642.79364,4.2378468915667784e+16
643.21216,4.253508828872636e+16
643.63068,4.278153367427317e+16
644.04913,4.293372092038473e+16
644.46759,4.322014078817048e+16
644.88605,4.336061633627161e+16
645.3045,4.347274812656548e+16
645.72296,4.362554589199731e+16
646.14136,4.3843067640596184e+16
646.55981,4.412335715339362e+16
646.97821,4.442445765756788e+16
647.39655,4.456612287442456e+16
647.81494,4.481601044990624e+16
648.23334,4.494136051972991e+16
648.65167,4.515173807987973e+16
649.07001,4.537352570885709e+16
649.48834,4.564286008588712e+16
649.90662,4.579868188755052e+16
650.32495,4.595040305436576e+16
650.74323,4.6121823826481704e+16
651.1615,4.6199416316428376e+16
651.57971,4.63331577794142e+16
651.99799,4.645643813973529e+16
652.4162,4.674606591339431e+16
652.83447,4.6729373779023944e+16
653.25262,4.683685165803666e+16
653.67084,4.698279554385921e+16
654.08905,4.696417350596302e+16
654.5072,4.702003696000995e+16
654.92535,4.717013251118581e+16
655.34351,4.72092827451508e+16
655.76166,4.734596158750069e+16
656.17975,4.73496122148135e+16
656.59784,4.727843551344825e+16
657.01593,4.734660899076791e+16
657.43402,4.741696554905456e+16
657.85211,4.748061777499972e+16
658.27014,4.748404534496909e+16
658.68817,4.7523826973325464e+16
659.1062,4.752293476332643e+16
659.52423,4.768780487408522e+16
659.94226,4.777425980487474e+16
660.36023,4.782618196801646e+16
660.7782,4.793800763490383e+16
661.19617,4.791998578815658e+16
661.61407,4.797219154541466e+16
662.03204,4.7945642602279576e+16
662.44995,4.801725591286076e+16
662.86786,4.815958566289022e+16
663.28577,4.818092989683797e+16
663.70361,4.82654194474106e+16
664.12152,4.8120304253748616e+16
664.53937,4.819641608419433e+16
664.95721,4.8108394924678424e+16
665.375,4.8145051909724616e+16
665.79285,4.820412524153476e+16
666.21063,4.83222780837565e+16
666.62842,4.827150364312652e+16
667.0462,4.834485541794548e+16
667.46399,4.827300970407457e+16
667.88171,4.822189339608774e+16
668.29944,4.826497292478488e+16
668.71716,4.828171371350654e+16
669.13489,4.821824942839396e+16
669.55255,4.8220414991717144e+16
669.97021,4.822586830598478e+16
670.38788,4.8252150034810344e+16
670.80554,4.819531041724659e+16
671.22321,4.813247392027565e+16
671.64081,4.8175950620969336e+16
672.05841,4.8167839244970136e+16
672.47601,4.8205052654971576e+16
672.89355,4.813669185379942e+16
673.31116,4.829395628680255e+16
673.7287,4.825380926969957e+16
674.14624,4.8158651939997736e+16
674.56378,4.8077799909388744e+16
674.98126,4.799483886840477e+16
675.39874,4.797889040790201e+16
675.81622,4.798348907824262e+16
676.2337,4.797160218555166e+16
676.65118,4.794700213146028e+16
677.0686,4.788872345687694e+16
677.48602,4.778814532246579e+16
