Wavelength (nm),Spectral photon flux (1/[s m2 nm])
578.21112,2.3499946775479096e+16
578.63123,2.3934100114521772e+16
579.05133,2.4304097296854028e+16
579.47144,2.4717758692316604e+16
579.89154,2.515247423811001e+16
580.31165,2.555200235023378e+16
580.73169,2.599280768042444e+16
581.15179,2.641305335088098e+16
581.57184,2.677406892244685e+16
581.99188,2.722256812578116e+16
582.41193,2.7597912620065264e+16
582.83197,2.797601869857839e+16
583.25195,2.838774297635023e+16
583.672,2.8800489970415996e+16
584.09198,2.917476470663608e+16
584.51202,2.9559556009794084e+16
584.93201,3.0009102626898692e+16
585.35199,3.0334312341793308e+16
585.77197,3.0770675684268204e+16
586.19189,3.118933333734046e+16
586.61188,3.163229643763997e+16
587.0318,3.2036376522263904e+16
587.45172,3.2444054712295096e+16
587.87164,3.2995651967150964e+16
588.29156,3.332545748337028e+16
588.71149,3.3804190738501264e+16
589.13141,3.4140669219441024e+16
589.55127,3.4626116240794188e+16
589.97113,3.5034957094829892e+16
590.39099,3.5483178596584076e+16
590.81085,3.591319206146634e+16
591.23071,3.634473959234811e+16
591.65057,3.66641901936654e+16
592.07037,3.702831423373228e+16
592.49023,3.745977724093168e+16
592.91003,3.780335916676235e+16
593.32983,3.82223870680115e+16
593.74963,3.86319929442668e+16
594.16943,3.907988342389595e+16
594.58917,3.9414536901839304e+16
595.00897,3.9812657878864056e+16
595.42871,4.019415957901446e+16
595.84845,4.063368914860201e+16
596.26819,4.08875855566873e+16
596.68793,4.130700279525302e+16
597.10767,4.172170565723411e+16
597.52734,4.2117466884034104e+16
597.94708,4.2420079718224264e+16
598.36676,4.296061066410629e+16
598.78644,4.333305245395696e+16
599.20612,4.363483016798926e+16
599.62573,4.398110647204877e+16
600.04541,4.4291187808802056e+16
600.46503,4.469875333782133e+16
600.88464,4.502898369375243e+16
601.30426,4.525339140639773e+16
601.72388,4.560723062549268e+16
602.14349,4.594568278284696e+16
602.56311,4.629522036446963e+16
602.98267,4.664432841621391e+16
603.40222,4.695913439687475e+16
603.82178,4.719319091529248e+16
604.24133,4.744179338953082e+16
604.66089,4.7814244126490184e+16
605.08038,4.814320029462388e+16
605.49994,4.855523962674706e+16
605.91943,4.889272195813952e+16
606.33893,4.921279710330538e+16
606.75842,4.956065570296835e+16
607.17792,4.979360549012406e+16
607.59735,5.017482352842772e+16
608.01685,5.047206944231939e+16
608.43628,5.078857094607293e+16
608.85571,5.1054912600183096e+16
609.27515,5.131734518978324e+16
609.69458,5.1711832012631736e+16
610.11395,5.1931670245920856e+16
610.53339,5.224284690696725e+16
610.95276,5.2522119328695416e+16
611.37213,5.290561421810124e+16
611.7915,5.3207715241163304e+16
612.21082,5.339840490996929e+16
612.63019,5.369038484375729e+16
613.0495,5.385567662765803e+16
613.46881,5.4229118688883064e+16
613.88812,5.457683553245428e+16
614.30743,5.480891048427268e+16
614.72675,5.5101612558923464e+16
615.146,5.522595157560898e+16
615.56531,5.547145397570646e+16
615.98456,5.570458320604796e+16
616.40381,5.597843419143095e+16
616.823,5.6381861372593416e+16
617.24225,5.647021062855851e+16
617.66144,5.672995424868815e+16
618.08069,5.700716914548477e+16
618.49988,5.7227162973208344e+16
618.91907,5.742323296315237e+16
619.3382,5.7545556216556616e+16
619.75739,5.774598575368741e+16
620.17651,5.79147491975774e+16
620.59564,5.815284419761765e+16
621.01477,5.824850769560638e+16
621.4339,5.8301556085160504e+16
621.85303,5.8568157614079736e+16
622.27209,5.854229610613949e+16
622.69116,5.866940728124262e+16
623.11023,5.87929654315585e+16
623.5293,5.903524413577306e+16
623.94836,5.91132567476086e+16
624.36743,5.924937745849576e+16
624.78644,5.92671110787528e+16
625.20544,5.938021736893553e+16
625.62445,5.952978622876631e+16
626.04346,5.969272922685008e+16
626.4624,5.991830324489316e+16
626.88141,6.002604831898782e+16
627.30035,6.013692994225381e+16
627.7193,6.01758629068952e+16
628.13824,6.016827832617618e+16
628.55719,6.02963490422377e+16
628.97607,6.038276185683342e+16
629.39496,6.0560881966469256e+16
629.81384,6.048179280080458e+16
630.23273,6.070069044794044e+16
630.65161,6.055570243472208e+16
631.0705,6.062874060675745e+16
631.48932,6.081235323200281e+16
631.90814,6.083602784066948e+16
632.32697,6.0898367492790904e+16
632.74579,6.097522593599822e+16
633.16455,6.096227010229208e+16
