Wavelength (nm),Spectral photon flux (1/[s m2 nm])
496.15106,320106016018868.7
496.57242,317158642464364.7
496.9938,314606826149921.3
497.41516,301774232915475.1
497.83652,314803254368407.6
498.25784,302120463824601.6
498.6792,307659581455114.5
499.10052,291842964698945.9
499.52188,304670854290684.44
499.94321,315352636859499.56
500.36453,306453442831917.4
500.78586,312963244597665.75
501.20718,302747317951743.25
501.62848,303076409725451.56
502.0498,305799542468543.9
502.4711,302006117505932.5
502.8924,313700686703882.8
503.31369,294538028670885.06
503.73499,302691238928640.94
504.15628,309031473695393.75
504.57758,303466232088652.3
504.99884,304430833769885.7
505.4201,304345933842421.3
505.8414,311827598746236.2
506.26266,313402824009054.25
506.68393,300606118238507.0
507.10516,313288012224640.75
507.52643,309066520780306.06
507.94766,306722605067696.0
508.3689,311967135571669.75
508.79013,323499052583438.0
509.21136,317461059105997.8
509.6326,318334785060053.3
510.05383,314569515483729.6
510.47504,325067042220171.75
510.89627,325108586100805.1
511.31747,328657862085119.5
511.73868,328867810876808.1
512.15985,336067503314495.9
512.58105,342202336662605.5
513.00226,332575717389799.25
513.4234,341707186368489.56
513.8446,337666204813651.5
514.26581,348858780045669.7
514.68695,350065342216072.9
515.10809,353049650197538.75
515.52924,362850944904732.7
515.95044,364771689226212.44
516.37158,372546526332264.2
516.79272,371599788761364.5
517.21387,375784281740536.7
517.63495,381581846818357.9
518.05609,381541699915936.94
518.47723,382891968074338.8
518.89832,387591101474792.6
519.31946,410734968122004.56
519.74054,404548950467423.75
520.16162,413310564408316.6
520.58276,418190588532821.9
521.00385,429278703477534.7
521.42493,433502229063724.7
521.84601,443033566337551.0
522.26709,450128966943169.5
522.68811,461999381329281.56
523.10919,464671716698279.0
523.53027,474562278667175.9
523.95129,474276614216564.0
524.37231,483338794645335.3
524.7934,492758614632868.94
525.21442,505970898736940.4
525.63544,521085325647162.7
526.05646,538149251108629.44
526.47748,542819491160168.44
526.8985,559421521581107.2
527.31946,573657096063338.5
527.74048,578126177195975.5
528.1615,599933754002125.0
528.58246,606046543118831.4
529.00342,615067906421194.5
529.42444,642922371811501.9
529.8454,670135836365369.8
530.26636,669220172242411.0
530.68732,690528638792770.1
531.10828,709423664318581.6
531.52917,728456554486698.5
531.95013,739497938707383.6
532.37109,765366192697234.2
532.79199,779072612764699.0
533.21289,797110262693730.9
533.63385,820517268496173.6
534.05475,850570580612695.6
534.47565,870542012844047.6
534.89655,897650539581452.6
535.31744,928334233149439.4
535.73834,952021174697307.4
536.15918,974342663438012.1
536.58008,1000879545463952.4
537.00092,1027332641817565.0
537.42175,1060012100009194.5
537.84265,1091984554296497.2
538.26349,1109535977797233.4
538.68433,1164917081585581.5
539.10516,1189800505384506.5
539.526,1218293022918636.0
539.94678,1264708050993287.5
540.36761,1295488033046201.0
540.78839,1346938967526867.0
541.20923,1383396983405174.2
541.63,1436695299101675.8
542.05078,1483146946069117.8
542.47156,1527004408503924.8
542.89233,1563666784697677.2
543.31311,1621717591169692.8
543.73389,1683014727735767.2
544.1546,1750309005663226.2
544.57538,1788548686092340.8
544.99609,1833280440269113.2
545.41687,1918340579837411.5
545.83759,1965037747956423.5
546.2583,2039471753844439.2
546.67902,2095706459163022.2
547.09973,2170972156915702.5
547.52039,2231608931290283.2
547.9411,2313187218240802.5
548.36176,2397786271933290.5
548.78247,2474306675524193.5
549.20313,2570940012916711.0
549.62378,2648133387641512.5
550.04443,2729455715279274.0
550.46509,2814432559385055.0
550.88574,2897804660118304.0
551.3064,3005134459754030.5
551.72699,3095807536429299.0
552.14764,3191257137075231.5
552.56824,3307224637580799.0
