Wavelength (nm),Spectral photon flux (1/[s m2 nm])
593.74963,1.4415073533649068e+16
594.16943,1.4674041478915706e+16
594.58917,1.4946208374382164e+16
595.00897,1.5284016975953152e+16
595.42871,1.5512256315523566e+16
595.84845,1.5851497025046824e+16
596.26819,1.610646225344833e+16
596.68793,1.6378768693693392e+16
597.10767,1.6654068378433608e+16
597.52734,1.7006174927501982e+16
597.94708,1.7289491629582344e+16
598.36676,1.7647781051846518e+16
598.78644,1.7978578528436364e+16
599.20612,1.824625756876311e+16
599.62573,1.856642144036159e+16
600.04541,1.8892883827933052e+16
600.46503,1.915373328846328e+16
600.88464,1.953159352815557e+16
601.30426,1.9823472462180664e+16
601.72388,2.008272893958607e+16
602.14349,2.042284456201211e+16
602.56311,2.0743917813783384e+16
602.98267,2.1039795636890264e+16
603.40222,2.140171674383429e+16
603.82178,2.1657124274401724e+16
604.24133,2.1966085453631516e+16
604.66089,2.231972573554314e+16
605.08038,2.271756599813098e+16
605.49994,2.3029825127866868e+16
605.91943,2.338281749607278e+16
606.33893,2.3729749361940984e+16
606.75842,2.4134040048974584e+16
607.17792,2.4454644815574084e+16
607.59735,2.479076711536029e+16
608.01685,2.509815198306843e+16
608.43628,2.54904336543917e+16
608.85571,2.583351788470283e+16
609.27515,2.6238299651685936e+16
609.69458,2.664137643902115e+16
610.11395,2.6892179009777892e+16
610.53339,2.715142502787983e+16
610.95276,2.7593848940534724e+16
611.37213,2.7954555650160076e+16
611.7915,2.837894815499621e+16
612.21082,2.8718108230142396e+16
612.63019,2.9070305615118308e+16
613.0495,2.9482356861126196e+16
613.46881,2.982032598067461e+16
613.88812,3.0179504917713056e+16
614.30743,3.053655970583161e+16
614.72675,3.088271866958785e+16
615.146,3.11766229695668e+16
615.56531,3.163690984923283e+16
615.98456,3.1998434430068456e+16
616.40381,3.2392515260962004e+16
616.823,3.27003945585252e+16
617.24225,3.3055994464676252e+16
617.66144,3.34659057836799e+16
618.08069,3.3926168462364716e+16
618.49988,3.413489799016401e+16
618.91907,3.4531733196836764e+16
619.3382,3.486506870999861e+16
619.75739,3.5192233781582188e+16
620.17651,3.5510383371415684e+16
620.59564,3.592517136253854e+16
621.01477,3.6213155165228216e+16
621.4339,3.6503698475623464e+16
621.85303,3.6859630606382504e+16
622.27209,3.712819835510008e+16
622.69116,3.744023024592156e+16
623.11023,3.770666486063138e+16
623.5293,3.8013925512183576e+16
623.94836,3.8384601882794984e+16
624.36743,3.867003898568667e+16
624.78644,3.8991478678089464e+16
625.20544,3.921242238823106e+16
625.62445,3.959396552391983e+16
626.04346,3.994363326960918e+16
626.4624,4.025482613513319e+16
626.88141,4.055704087560015e+16
627.30035,4.086226741867239e+16
627.7193,4.123326834536992e+16
628.13824,4.1416114013289e+16
628.55719,4.173792902103721e+16
628.97607,4.2041824187789816e+16
629.39496,4.236101539827273e+16
629.81384,4.264148592056725e+16
630.23273,4.291270896975871e+16
630.65161,4.307377740993728e+16
631.0705,4.3355106793323e+16
631.48932,4.369388339410338e+16
631.90814,4.38803956994097e+16
632.32697,4.4171222813306856e+16
632.74579,4.444424967913211e+16
633.16455,4.4707293200204744e+16
633.58337,4.504581751425227e+16
634.00214,4.533521465028903e+16
634.4209,4.557917326179685e+16
634.83966,4.577134891738372e+16
635.25836,4.601042303761109e+16
635.67712,4.631612571631036e+16
636.09583,4.661166324100396e+16
636.51453,4.688272708391153e+16
636.93323,4.7148552975483416e+16
637.35193,4.736267902378953e+16
637.77057,4.760494718299231e+16
638.18921,4.773953056554911e+16
638.60785,4.807050251785361e+16
639.02649,4.840609581648655e+16
639.44513,4.858232456272239e+16
639.86371,4.884224150178195e+16
640.28235,4.905187610488996e+16
640.70093,4.9309663450379096e+16
641.11951,4.956394170458599e+16
641.53802,4.976974449596551e+16
641.9566,4.994936184249532e+16
642.37512,5.012690204052444e+16
642.79364,5.01869345619031e+16
643.21216,5.0275899399755304e+16
643.63068,5.062427091752139e+16
644.04913,5.075473905276796e+16
644.46759,5.097641490105865e+16
644.88605,5.0982977585058216e+16
645.3045,5.116374692097734e+16
645.72296,5.129464252226869e+16
646.14136,5.138608460724449e+16
646.55981,5.171644208247488e+16
646.97821,5.183550005685046e+16
647.39655,5.2083281708107e+16
647.81494,5.228813022945264e+16
648.23334,5.242146105458546e+16
648.65167,5.265733049850563e+16
649.07001,5.2785007530026424e+16
649.48834,5.297338938050827e+16
649.90662,5.3175233439924184e+16
650.32495,5.328193629777752e+16
650.74323,5.3485436063766136e+16
651.1615,5.3386547891612376e+16
651.57971,5.347280856082557e+16
651.99799,5.3598928142545576e+16
652.4162,5.374892351301174e+16
652.83447,5.384456528224497e+16
653.25262,5.379304025127184e+16
653.67084,5.389334453445795e+16
654.08905,5.3849133997100984e+16
654.5072,5.3834450274530744e+16
