Wavelength (nm),Spectral photon flux (1/[s m2 nm])
595.84845,3886004401557521.0
596.26819,3941893531936913.5
596.68793,3966033951069857.0
597.10767,4004546478683068.5
597.52734,4036193601725753.5
597.94708,4057843378387304.5
598.36676,4086491597131399.0
598.78644,4125535022191742.0
599.20612,4150069092291136.5
599.62573,4168813406397491.0
600.04541,4205514365529164.5
600.46503,4194626611613224.5
600.88464,4245340927858886.0
601.30426,4246522134532857.5
601.72388,4299104610688034.5
602.14349,4325454811895000.0
602.56311,4343454072920921.5
602.98267,4365616331889455.5
603.40222,4394170102631723.0
603.82178,4423256567583578.0
604.24133,4431963474691162.5
604.66089,4465886047710604.5
605.08038,4486057162837048.0
605.49994,4511644279476175.0
605.91943,4550445918954014.0
606.33893,4561719804470909.0
606.75842,4599347820240452.0
607.17792,4621426887678901.0
607.59735,4639617184586219.0
608.01685,4671476482933245.0
608.43628,4701956223694767.0
608.85571,4715191121382980.0
609.27515,4726682945085790.0
609.69458,4758289824377485.0
610.11395,4772981778145254.0
610.53339,4786455322240748.0
610.95276,4805034885944276.0
611.37213,4850043416236182.0
611.7915,4873433149848236.0
612.21082,4869717114198140.0
612.63019,4921764992199443.0
613.0495,4902308665122689.0
613.46881,4923533055984619.0
613.88812,4961866883019328.0
614.30743,4955830517937491.0
614.72675,4995555827861467.0
615.146,4984108814767377.0
615.56531,5000321495746819.0
615.98456,5037060060765253.0
616.40381,5046419505329845.0
616.823,5068302938493714.0
617.24225,5074287180557740.0
617.66144,5083005090628929.0
618.08069,5122971461040817.0
618.49988,5116468933461831.0
618.91907,5122067644232144.0
619.3382,5121376533810994.0
619.75739,5135251912630914.0
620.17651,5164370658583291.0
620.59564,5183548852382406.0
621.01477,5174064336725503.0
621.4339,5182269236024908.0
621.85303,5184606664170317.0
622.27209,5195371987377611.0
622.69116,5210211053483942.0
623.11023,5196780118543804.0
623.5293,5227381767503731.0
623.94836,5218043746968944.0
624.36743,5247943492544367.0
624.78644,5225355658363796.0
625.20544,5254161788058076.0
625.62445,5221010902969939.0
626.04346,5243192033380072.0
626.4624,5268710626449735.0
626.88141,5263175486664690.0
627.30035,5250678267625555.0
627.7193,5252042533661519.0
628.13824,5256579393282595.0
628.55719,5248681092367668.0
628.97607,5268532936432261.0
629.39496,5237960672694163.0
629.81384,5225173800069509.0
630.23273,5235871572624442.0
630.65161,5216866329445376.0
631.0705,5206241473597606.0
631.48932,5215010713807256.0
631.90814,5209563829881770.0
632.32697,5214374148485205.0
632.74579,5192560669437932.0
633.16455,5183078145563963.0
633.58337,5199099068949218.0
634.00214,5187688240934750.0
634.4209,5131412752011072.0
634.83966,5140203894219393.0
635.25836,5120634369656747.0
635.67712,5149783880501154.0
636.09583,5139932869751221.0
636.51453,5134596051745258.0
636.93323,5118833403362309.0
637.35193,5145599535679582.0
637.77057,5093116684718699.0
638.18921,5117393637214041.0
638.60785,5113302194755553.0
639.02649,5138840543181507.0
639.44513,5100577025004771.0
639.86371,5074573924855040.0
640.28235,5099277597673559.0
640.70093,5102630175167419.0
641.11951,5080773348277862.0
641.53802,5067373384448872.0
641.9566,5076932197842016.0
642.37512,5065823784546665.0
642.79364,5063533803518018.0
643.21216,5058617472067413.0
643.63068,5032228883514444.0
644.04913,5039819924246991.0
644.46759,5041879661098723.0
644.88605,5026839166465832.0
645.3045,5008934431632131.0
645.72296,4992569284642744.0
646.14136,5029346329437220.0
646.55981,5030245966219469.0
646.97821,4999784570623329.0
647.39655,5010904597654593.0
647.81494,5000839285388931.0
648.23334,4996068971583197.0
648.65167,4996999124186967.0
649.07001,4995148537741291.0
649.48834,4977444603368698.0
649.90662,4986727284607884.0
650.32495,4960711177373925.0
650.74323,4967102031585642.0
651.1615,4936464207636247.0
651.57971,4912093180116613.0
651.99799,4910877395664778.0
652.4162,4898663318954583.0
652.83447,4857646802856581.0
653.25262,4821475246502935.0
653.67084,4822261725873157.0
654.08905,4803313811082898.0
654.5072,4750189541233304.0
654.92535,4736121133578857.0
655.34351,4734939274623032.0
655.76166,4690993928619250.0
656.17975,4674498014068799.0
656.59784,4642757584306411.0
