Wavelength (nm),Spectral photon flux (1/[s m2 nm])
496.15106,45822063062795.52
496.57242,45077290904489.77
496.9938,43179222981313.89
497.41516,39496450717624.97
497.83652,35686198875770.91
498.25784,36377122700617.06
498.6792,43305687584389.2
499.10052,33867163525235.84
499.52188,37096689966498.76
499.94321,39870985203985.2
500.36453,42237546949670.7
500.78586,50930822712848.69
501.20718,42987674352501.91
501.62848,36844185107280.27
502.0498,42332171337108.914
502.4711,45496764625935.29
502.8924,38400084059385.086
503.31369,29344383133370.85
503.73499,41501187536354.89
504.15628,42207737094977.37
504.57758,34393492884442.03
504.99884,37237457092570.08
505.4201,43561148962463.234
505.8414,37032548936374.71
506.26266,41254928352219.79
506.68393,38401737309219.914
507.10516,40030716499649.87
507.52643,42210253837728.66
507.94766,28693099516984.223
508.3689,36868843294833.695
508.79013,44117782978084.45
509.21136,38989742387981.39
509.6326,38166497885542.68
510.05383,33304067920430.457
510.47504,40563603436747.25
510.89627,37501844879187.14
511.31747,37811832796853.414
511.73868,37235522338581.85
512.15985,46607232236899.77
512.58105,38347894908165.74
513.00226,38595206709433.484
513.4234,44249851472178.51
513.8446,42582804532832.09
514.26581,38500384710311.51
514.68695,39107377252998.06
515.10809,38216250110736.9
515.52924,46087740955401.42
515.95044,47797669622745.08
516.37158,38588693306706.53
516.79272,42646986561328.266
517.21387,49920668258688.39
517.63495,44363779487968.445
518.05609,36151652012471.49
518.47723,41207311113774.11
518.89832,45500209085825.89
519.31946,34565931194466.684
519.74054,41986477235196.07
520.16162,42456189410722.44
520.58276,47236308341519.664
521.00385,45496354319959.26
521.42493,43280133621156.016
521.84601,51556174386421.12
522.26709,49131951994766.27
522.68811,50277940970764.89
523.10919,45318974990603.4
523.53027,50278418910941.414
523.95129,55241214711272.87
524.37231,59495857370662.125
524.7934,54741317928404.984
525.21442,48530839463615.25
525.63544,51995687166858.31
526.05646,55984881768559.03
526.47748,47911154320500.96
526.8985,54543815487181.38
527.31946,65431538941245.36
527.74048,60892013848507.805
528.1615,60159030702145.94
528.58246,54398835193058.98
529.00342,63106175814271.79
529.42444,62010394030044.61
529.8454,55793878569970.38
530.26636,60917310867319.59
530.68732,66124612321794.14
531.10828,64033696828460.945
531.52917,69430608020383.18
531.95013,69599805995989.05
532.37109,70645176505773.33
532.79199,71258758364507.33
533.21289,63550339629595.9
533.63385,65933646721096.11
534.05475,72821633280898.95
534.47565,70789223488918.86
534.89655,89321060383141.34
535.31744,77426506545628.25
535.73834,88145274652076.81
