Wavelength (nm),Spectral photon flux (1/[s m2 nm])
595.84845,7501280882114658.0
596.26819,7582895240098470.0
596.68793,7724595130671802.0
597.10767,7840959128689284.0
597.52734,7981632650056945.0
597.94708,8133141584410408.0
598.36676,8274973884652620.0
598.78644,8383464327343613.0
599.20612,8498659015102611.0
599.62573,8646583165404406.0
600.04541,8801858705169071.0
600.46503,8906919514590946.0
600.88464,9034424066135298.0
601.30426,9135875265609834.0
601.72388,9265673530552320.0
602.14349,9414813155144600.0
602.56311,9553156800041054.0
602.98267,9679085922603146.0
603.40222,9791848429478810.0
603.82178,9945766169977752.0
604.24133,1.0051769989414762e+16
604.66089,1.0210241743975218e+16
605.08038,1.0340827311651188e+16
605.49994,1.0464561697991722e+16
605.91943,1.063284627408689e+16
606.33893,1.077522218425729e+16
606.75842,1.0956079839703304e+16
607.17792,1.1067037670177428e+16
607.59735,1.1221558854627104e+16
608.01685,1.1369037321704168e+16
608.43628,1.148955259423884e+16
608.85571,1.1651012728026802e+16
609.27515,1.1806937499598622e+16
609.69458,1.1931451860319148e+16
610.11395,1.2099691205721572e+16
610.53339,1.2190642562294714e+16
610.95276,1.235018422233535e+16
611.37213,1.2506359883158922e+16
611.7915,1.2644764712644808e+16
612.21082,1.2786225517617036e+16
612.63019,1.2952217251040404e+16
613.0495,1.3071457561404666e+16
613.46881,1.325019762473345e+16
613.88812,1.3424255791199124e+16
614.30743,1.3541193246710242e+16
614.72675,1.3700473562893964e+16
615.146,1.3804987221319702e+16
615.56531,1.395411591653775e+16
615.98456,1.4122635356837174e+16
616.40381,1.4262451339539754e+16
616.823,1.4411102476788356e+16
617.24225,1.4580230144285092e+16
617.66144,1.471606799656055e+16
618.08069,1.4872184605642734e+16
618.49988,1.5040725368639216e+16
618.91907,1.5184773963645794e+16
619.3382,1.5321061731494854e+16
619.75739,1.5420246018408078e+16
620.17651,1.5586300739671232e+16
620.59564,1.5702051878101894e+16
621.01477,1.5849024018270094e+16
621.4339,1.5960027499915424e+16
621.85303,1.605185865229502e+16
622.27209,1.6125114139851736e+16
622.69116,1.6250156421621076e+16
623.11023,1.638342238826206e+16
623.5293,1.6558887642703778e+16
623.94836,1.665348070386539e+16
624.36743,1.6776256654305822e+16
624.78644,1.6907807422918818e+16
625.20544,1.6991867400320502e+16
625.62445,1.7090217773986044e+16
626.04346,1.723602604390624e+16
626.4624,1.7397025303532622e+16
626.88141,1.7512901917286226e+16
627.30035,1.7624131200666406e+16
627.7193,1.7716548411705766e+16
628.13824,1.7786040291822012e+16
628.55719,1.796746940222866e+16
628.97607,1.80919178866932e+16
629.39496,1.8174887843780316e+16
629.81384,1.826169642024293e+16
630.23273,1.8396305525437228e+16
630.65161,1.8417221184322764e+16
631.0705,1.8527960630902204e+16
631.48932,1.869869765191805e+16
631.90814,1.8794240102402536e+16
632.32697,1.8872538560806988e+16
632.74579,1.8961292430207036e+16
633.16455,1.9052895334956436e+16
633.58337,1.9165614578570828e+16
634.00214,1.934484339014382e+16
634.4209,1.9414056342049304e+16
634.83966,1.9460968838573496e+16
635.25836,1.9570042945784772e+16
635.67712,1.969436042698043e+16
636.09583,1.9798194125812576e+16
636.51453,1.9844490350700204e+16
636.93323,1.99320912732035e+16
637.35193,2.003332460661054e+16
637.77057,2.0162649416888428e+16
638.18921,2.020807363628471e+16
638.60785,2.0378937956218828e+16
639.02649,2.044723093593541e+16
639.44513,2.048039645438256e+16
639.86371,2.058251187156367e+16
640.28235,2.066510950999978e+16
640.70093,2.07251667954807e+16
641.11951,2.0819004079848516e+16
641.53802,2.0925137129776132e+16
641.9566,2.0956835816609892e+16
642.37512,2.0966731972057744e+16
642.79364,2.102960470567822e+16
643.21216,2.1070007569764336e+16
643.63068,2.1139350133463176e+16
644.04913,2.1174603725298676e+16
644.46759,2.1309286144022084e+16
644.88605,2.127818644112933e+16
645.3045,2.128473075444117e+16
645.72296,2.1293281286485068e+16
646.14136,2.1327636524837904e+16
646.55981,2.1500506599290944e+16
646.97821,2.154595143297648e+16
647.39655,2.154791892265546e+16
647.81494,2.161890906262202e+16
648.23334,2.17033267897824e+16
648.65167,2.1684278298061092e+16
649.07001,2.175851929487228e+16
649.48834,2.1800194101554436e+16
649.90662,2.1858580726114388e+16
650.32495,2.1895902142598624e+16
650.74323,2.19150089025738e+16
651.1615,2.1911891414850228e+16
651.57971,2.1899320281487556e+16
651.99799,2.1893522534493544e+16
652.4162,2.1981550727198196e+16
652.83447,2.1949957084727856e+16
653.25262,2.190443065360532e+16
653.67084,2.1934722260855996e+16
654.08905,2.1921540985388468e+16
654.5072,2.192291191397585e+16
654.92535,2.1923742030574396e+16
655.34351,2.1890660355536116e+16
655.76166,2.186379662317774e+16
656.17975,2.1808400245052384e+16
656.59784,2.179611265051339e+16
657.01593,2.17410026200313e+16
657.43402,2.174177537986144e+16
657.85211,2.1682601036508756e+16
658.27014,2.171850886709758e+16
658.68817,2.1638422245223696e+16
659.1062,2.159921276110211e+16
659.52423,2.1533253485045996e+16
659.94226,2.1651899156739356e+16
660.36023,2.1691645076153984e+16
660.7782,2.160605922670638e+16
661.19617,2.156571320556274e+16
661.61407,2.1524691843348456e+16
662.03204,2.1549618810098236e+16
662.44995,2.155818714098211e+16
662.86786,2.1499815028075996e+16
663.28577,2.1496786264193508e+16
663.70361,2.1474545748314016e+16
664.12152,2.135810999710983e+16
664.53937,2.1335799173970144e+16
664.95721,2.1273118092045864e+16
665.375,2.125037017574779e+16
665.79285,2.1174210551601164e+16
666.21063,2.1236554141888924e+16
